"GEO_ID","NAME","C16009_001E","C16009_001M","C16009_002E","C16009_002M","C16009_003E","C16009_003M","C16009_004E","C16009_004M","C16009_005E","C16009_005M","C16009_006E","C16009_006M","C16009_007E","C16009_007M","C16009_008E","C16009_008M","C16009_009E","C16009_009M","C16009_010E","C16009_010M","C16009_011E","C16009_011M","C16009_012E","C16009_012M","C16009_013E","C16009_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Income in the past 12 months below poverty level","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Estimate!!Total!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages"
"0400000US48","Texas","24414846","7289","4011816","54014","1971229","36659","1848506","45280","65118","8106","79991","5833","46972","6949","20403030","53837","13724347","53564","5475753","45386","449502","17325","605467","15699","147961","9943"
