"GEO_ID","NAME","C16009_001E","C16009_001M","C16009_002E","C16009_002M","C16009_003E","C16009_003M","C16009_004E","C16009_004M","C16009_005E","C16009_005M","C16009_006E","C16009_006M","C16009_007E","C16009_007M","C16009_008E","C16009_008M","C16009_009E","C16009_009M","C16009_010E","C16009_010M","C16009_011E","C16009_011M","C16009_012E","C16009_012M","C16009_013E","C16009_013M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Income in the past 12 months below poverty level","Margin of Error!!Total!!Income in the past 12 months below poverty level","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months below poverty level!!Speak other languages","Estimate!!Total!!Income in the past 12 months at or above poverty level","Margin of Error!!Total!!Income in the past 12 months at or above poverty level","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak only English","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Spanish","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other Indo-European languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak Asian and Pacific Island languages","Estimate!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages","Margin of Error!!Total!!Income in the past 12 months at or above poverty level!!Speak other languages"
"0500000US48355","Nueces County, Texas","312206","1991","56411","7088","35240","5246","20920","4168","70","117","0","294","181","301","255795","7253","153904","6850","95686","6128","2144","923","3454","926","607","385"
"0500000US48361","Orange County, Texas","76274","688","10361","1943","9338","1779","741","516","282","280","0","294","0","294","65913","2033","61130","2251","2779","1119","1124","777","795","178","85","129"
"0500000US48367","Parker County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48375","Potter County, Texas","108971","1494","24844","3372","11851","2443","12364","2588","126","209","219","308","284","386","84127","3452","62149","3223","17124","2765","1233","840","3169","902","452","460"
"0500000US48381","Randall County, Texas","110255","2380","9691","2497","6958","2029","2523","1503","0","294","128","161","82","150","100564","3025","91310","3192","6791","1865","1030","551","1168","475","265","270"
"0500000US48397","Rockwall County, Texas","73035","808","3364","1575","3104","1574","213","208","47","78","0","294","0","294","69671","1703","58593","2589","8297","1381","1052","799","1062","418","667","500"
"0500000US48409","San Patricio County, Texas","59279","864","12676","2678","7660","1987","5016","1559","0","294","0","294","0","294","46603","2768","31051","2247","14689","1816","551","335","267","307","45","83"
"0500000US48423","Smith County, Texas","190839","2298","26185","4035","20462","3152","5434","1932","108","141","0","294","181","282","164654","4710","139173","3896","22662","2739","1480","806","1339","770","0","294"
"0500000US48439","Tarrant County, Texas","1649266","7824","225917","13512","124120","8554","84739","8529","6286","2353","6262","2035","4510","1992","1423349","16241","1064048","16963","267271","9448","30365","4285","48337","4050","13328","3293"
"0500000US48441","Taylor County, Texas","114345","2554","19897","3391","16680","2949","2174","864","330","356","37","66","676","1036","94448","3573","79826","4567","11334","2127","2311","2550","831","569","146","171"
"0500000US48451","Tom Green County, Texas","94617","4046","18690","3219","13693","3002","4239","1367","758","1002","0","294","0","294","75927","4774","57912","4366","17255","2857","723","443","37","79","0","294"
"0500000US48453","Travis County, Texas","936400","3499","173011","12187","91788","9472","71270","7440","3303","1082","5899","1531","751","603","763389","12734","554512","10321","154132","8617","18631","3559","32670","3123","3444","1431"
"0500000US48469","Victoria County, Texas","79000","861","13997","2691","9022","1952","4663","1650","312","294","0","294","0","294","65003","2648","50122","2659","13376","2291","805","455","457","220","243","339"
"0500000US48471","Walker County, Texas","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
"0500000US48479","Webb County, Texas","225082","1598","67275","9109","3039","1457","64236","9053","0","294","0","294","0","294","157807","9046","13399","2422","142739","9397","342","428","1327","860","0","294"
"0500000US48485","Wichita County, Texas","112339","3468","18806","3031","14888","2659","3101","1176","235","361","582","645","0","294","93533","4082","81634","3467","9363","1737","830","527","1706","867","0","294"
"0500000US48491","Williamson County, Texas","388161","3084","29513","4385","20177","3583","7703","2359","927","892","706","481","0","294","358648","5387","285404","5539","49556","3800","11382","2423","10386","1488","1920","1430"
